Timestamp,Action,Side,Price,Amount,PnL,Balance,Reason
2026-09-11 20:25:16,OPEN,BUY,78807.62,0.01,0,1000.0,SIGNAL
2026-09-11 20:54:51,OPEN,BUY,78698.01,0.0955,0,1000.0,SIGNAL
2026-09-11 21:06:54,CLOSE,BUY,78687.11,0.0955,-1.04,998.96,STOP-LOSS/TRAIL
